,Temp,39Ar,std_39Ar,seconds_per_extraction_step
0,250,0.8243,0.08243,300
1,275,0.9584,0.09584000000000001,300
2,300,1.2445,0.12445,300
3,325,2.265,0.22650000000000003,300
4,350,4.886,0.48860000000000003,300
5,375,7.076,0.7076,300
6,400,7.598,0.7598,300
7,425,7.651,0.7651,300
8,450,7.35,0.735,300
9,475,7.21,0.7210000000000001,300
10,500,7.137,0.7137,300
11,525,7.163,0.7163,300
12,550,7.283,0.7283000000000001,300
13,562,7.397,0.7397,300
14,575,7.604,0.7604000000000001,300
15,587,7.772,0.7772000000000001,300
16,600,7.749,0.7749,300
17,612,7.826,0.7826,300
18,625,7.835,0.7835000000000001,300
19,650,8.038,0.8038000000000001,300
20,675,7.891,0.7891,300
21,700,7.953,0.7953000000000001,300
22,750,8.015,0.8015000000000001,300
23,800,8.081,0.8081,300
24,850,8.865,0.8865000000000001,300
25,900,10.497,1.0497,300
26,1000,15.653,1.5653000000000001,300
27,1100,12.092,1.2092,300
28,1250,42.14,4.214,300
