Temp,39Ar,std_39Ar,seconds_per_extraction_step
250,0.8243,0.0041,
275,0.9584,0.0018000000000000002,48.7417919617682
300,1.2445,0.0037,86.81614133395686
325,2.265,0.008,371.0859443494968
350,4.886,0.024,827.0707626254408
375,7.076,0.044,1424.149248353732
400,7.598,0.042,1489.37636438712
425,7.651,0.025,1151.895585897748
450,7.35,0.015,787.5338178986475
475,7.21,0.016,639.5455754682813
500,7.137,0.011,376.7937225755402
525,7.163,0.008,199.6833986359316
550,7.283,0.007,129.2682664020676
562,7.397,0.01,123.58482971225324
575,7.604,0.011,131.34933216349768
587,7.772,0.016,138.21980002258283
600,7.749,0.017,172.47191375100087
612,7.826,0.021,177.74189693815816
625,7.835,0.017,181.08225737684845
650,8.038,0.018000000000000002,139.94580911304612
675,7.891,0.019,139.56725214582767
700,7.953,0.02,142.76566843518913
750,8.015,0.024,
800,8.081,0.02,
850,8.865,0.025,
900,10.497,0.034,
1000,15.653,0.025,
1100,12.092,0.045,
1250,42.14,0.44,
